id,answer_32214,answer_32215,answer_32268,x,y
0,0.0,0.0,0.0,0.708542713567839,-0.2261306532663316
1,0.0,0.0,0.0,0.829145728643216,-0.2864321608040203
2,0.0,0.0,0.0,1.0100502512562812,-0.3768844221105527
3,0.0,0.0,0.0,1.2211055276381906,-0.4974874371859297
4,0.0,0.0,0.0,1.100502512562814,-0.4371859296482414
5,0.0,0.0,1.0,0.7386934673366832,-0.2562814070351762
6,0.0,0.0,1.0,0.9195979899497484,-0.4070351758793973
7,0.0,0.0,1.0,1.341708542713568,-0.829145728643216
8,0.0,0.0,1.0,1.3718592964824117,-0.7989949748743719
9,0.0,0.0,1.0,1.3718592964824117,-0.7989949748743719
10,0.0,0.0,2.0,0.7688442211055273,-0.3165829145728644
11,0.0,0.0,2.0,1.4321608040201,-1.0100502512562817
12,0.0,0.0,2.0,1.492462311557789,-1.0100502512562817
13,0.0,0.0,2.0,1.582914572864321,-1.0100502512562817
14,0.0,0.0,2.0,1.5527638190954771,-1.0402010050251258
15,0.0,0.0,3.0,1.190954773869347,-1.1306532663316584
16,0.0,0.0,3.0,1.5226130653266328,-1.100502512562814
17,0.0,0.0,3.0,1.582914572864321,-1.100502512562814
18,0.0,0.0,3.0,1.6130653266331656,-1.100502512562814
19,0.0,0.0,3.0,1.6130653266331656,-1.100502512562814
25,0.0,1.0,0.0,-0.1959798994974875,-0.3467336683417086
26,0.0,1.0,0.0,0.6180904522613062,-0.4371859296482414
27,0.0,1.0,0.0,0.9798994974874372,-0.5276381909547738
28,0.0,1.0,0.0,1.1306532663316575,-0.5276381909547738
29,0.0,1.0,0.0,-0.1055276381909546,-0.3768844221105527
30,0.0,1.0,1.0,-0.1959798994974875,-0.3467336683417086
31,0.0,1.0,1.0,0.6180904522613062,-0.4673366834170855
32,0.0,1.0,1.0,0.9798994974874372,-0.6180904522613067
33,0.0,1.0,1.0,1.341708542713568,-0.829145728643216
34,0.0,1.0,1.0,1.3115577889447234,-0.8592964824120606
35,0.0,1.0,2.0,-0.1959798994974875,-0.3467336683417086
36,0.0,1.0,2.0,0.6180904522613062,-0.4974874371859297
37,0.0,1.0,2.0,1.3718592964824117,-1.0402010050251258
38,0.0,1.0,2.0,1.492462311557789,-1.07035175879397
39,0.0,1.0,2.0,1.4623115577889445,-1.07035175879397
40,0.0,1.0,3.0,0.7989949748743719,-1.5527638190954771
41,0.0,1.0,3.0,1.4321608040201,-1.1608040201005023
42,0.0,1.0,3.0,1.492462311557789,-1.1608040201005023
43,0.0,1.0,3.0,1.5226130653266328,-1.190954773869347
44,0.0,1.0,3.0,1.5226130653266328,-1.1608040201005023
50,0.0,2.0,0.0,-0.2261306532663316,-0.3467336683417086
51,0.0,2.0,0.0,0.6180904522613062,-0.4673366834170855
52,0.0,2.0,0.0,0.9798994974874372,-0.5577889447236184
53,0.0,2.0,0.0,0.9798994974874372,-0.5577889447236184
54,0.0,2.0,0.0,-0.1658291457286433,-0.3768844221105527
55,0.0,2.0,1.0,-0.2261306532663316,-0.3467336683417086
56,0.0,2.0,1.0,0.6180904522613062,-0.5276381909547738
57,0.0,2.0,1.0,0.9798994974874372,-0.7085427135678395
58,0.0,2.0,1.0,1.1306532663316575,-1.100502512562814
59,0.0,2.0,1.0,-0.1658291457286433,-0.3768844221105527
60,0.0,2.0,2.0,-0.2261306532663316,-0.3467336683417086
61,0.0,2.0,2.0,0.5879396984924621,-0.6180904522613067
62,0.0,2.0,2.0,0.949748743718593,-0.9798994974874372
63,0.0,2.0,2.0,1.190954773869347,-1.3115577889447236
64,0.0,2.0,2.0,-0.1356783919597992,-0.3768844221105527
65,0.0,2.0,3.0,0.708542713567839,-1.6733668341708543
66,0.0,2.0,3.0,1.190954773869347,-1.3115577889447236
67,0.0,2.0,3.0,1.190954773869347,-1.3115577889447236
68,0.0,2.0,3.0,1.2211055276381906,-1.4020100502512562
69,0.0,2.0,3.0,1.2211055276381906,-1.4020100502512562
75,0.0,3.0,0.0,-0.2864321608040203,-0.3467336683417086
76,0.0,3.0,0.0,-0.0753768844221105,-0.4070351758793973
77,0.0,3.0,0.0,0.557788944723618,-0.6180904522613067
78,0.0,3.0,0.0,0.7688442211055273,-0.7085427135678395
79,0.0,3.0,0.0,-0.2261306532663316,-0.3467336683417086
80,0.0,3.0,1.0,-0.2562814070351762,-0.3467336683417086
81,0.0,3.0,1.0,-0.0452261306532664,-0.4070351758793973
82,0.0,3.0,1.0,0.708542713567839,-0.7989949748743719
83,0.0,3.0,1.0,0.949748743718593,-1.100502512562814
84,0.0,3.0,1.0,-0.2261306532663316,-0.3768844221105527
85,0.0,3.0,2.0,-0.2562814070351762,-0.3467336683417086
86,0.0,3.0,2.0,-0.0150753768844222,-0.4371859296482414
87,0.0,3.0,2.0,0.9195979899497484,-1.3115577889447236
88,0.0,3.0,2.0,1.0703517587939697,-1.371859296482412
89,0.0,3.0,2.0,-0.1959798994974875,-0.3768844221105527
90,0.0,3.0,3.0,0.6180904522613062,-1.763819095477387
91,0.0,3.0,3.0,0.7386934673366832,-1.7035175879396989
92,0.0,3.0,3.0,0.9195979899497484,-1.5829145728643217
93,0.0,3.0,3.0,1.1306532663316575,-1.5226130653266332
94,0.0,3.0,3.0,1.0100502512562812,-1.5527638190954771
125,1.0,0.0,0.0,0.7386934673366832,0.0150753768844218
126,1.0,0.0,0.0,0.8592964824120601,-0.0753768844221105
127,1.0,0.0,0.0,1.0100502512562812,-0.1658291457286433
128,1.0,0.0,0.0,1.2512562814070352,-0.3165829145728644
129,1.0,0.0,0.0,1.1306532663316575,-0.2562814070351762
130,1.0,0.0,1.0,0.7386934673366832,-0.0150753768844222
131,1.0,0.0,1.0,0.8894472361809043,-0.1356783919597992
132,1.0,0.0,1.0,1.0100502512562812,-0.2864321608040203
133,1.0,0.0,1.0,1.4623115577889445,-0.6783919597989949
134,1.0,0.0,1.0,1.4020100502512562,-0.7386934673366836
135,1.0,0.0,2.0,0.7386934673366832,-0.0150753768844222
